year,month,day,order,country,session_id,page_1_main_category,page_2_model,colour,location,model_photography,price,price_2,page,higher_than_average,main_category,click_position,n_clicks_observed,is_first_click,is_last_observed_click,running_high_price_count,running_high_price_share,running_unique_pages,running_unique_models,running_unique_categories,running_unique_colours,price_delta_from_prev,category_changed_from_prev,category_frequency,colour_frequency,model_frequency
2008,4,1,1,21,3,2,B17,6,6,2,38,2,1,0,skirts,1,5,1,0,0,0.0,1,1,1,1,0.0,0,0.2640072529465095,0.09132668479903294,0.010818978543366576
2008,4,1,2,21,3,3,C4,4,2,1,48,1,1,1,blouses,2,5,0,0,1,0.5,1,2,2,2,10.0,1,0.2042429737080689,0.0923541855545482,0.005959504381988516
2008,4,1,3,21,3,3,C7,13,3,1,48,1,1,1,blouses,3,5,0,0,2,0.6666666666666666,1,3,2,3,0.0,0,0.2042429737080689,0.033593230583257784,0.007796917497733454
2008,4,1,4,21,3,3,C10,9,4,2,28,2,1,0,blouses,4,5,0,0,2,0.5,1,4,2,4,-20.0,0,0.2042429737080689,0.07014808099123603,0.003227561196736174
2008,4,1,5,21,3,3,C17,14,6,1,48,1,1,1,blouses,5,5,0,1,3,0.6,1,5,2,5,20.0,0,0.2042429737080689,0.08348141432456936,0.00971894832275612
2008,4,1,1,21,4,1,A34,2,6,1,38,2,2,0,trousers,1,4,1,0,0,0.0,1,1,1,1,0.0,0,0.3564944091870656,0.17448171653067393,0.002852825627077667
2008,4,1,2,21,4,1,A37,2,1,1,62,1,3,1,trousers,2,4,0,0,1,0.5,2,2,1,1,24.0,0,0.3564944091870656,0.17448171653067393,0.003795708673315201
2008,4,1,3,21,4,3,C4,4,2,1,48,1,1,1,blouses,3,4,0,0,2,0.6666666666666666,3,3,2,2,-14.0,1,0.2042429737080689,0.0923541855545482,0.005959504381988516
2008,4,1,4,21,4,3,C25,2,3,1,33,2,2,0,blouses,4,4,0,1,2,0.5,3,4,2,2,-15.0,0,0.2042429737080689,0.17448171653067393,0.0020912662435781204
2008,4,1,1,9,5,3,C21,14,1,1,57,1,2,1,blouses,1,1,1,1,1,1.0,1,1,1,1,0.0,0,0.2042429737080689,0.08348141432456936,0.004206708975521305
2008,4,1,1,9,6,3,C7,13,3,1,48,1,1,1,blouses,1,5,1,0,1,1.0,1,1,1,1,0.0,0,0.2042429737080689,0.033593230583257784,0.007796917497733454
2008,4,1,2,9,6,3,C15,6,5,1,33,2,1,0,blouses,2,5,0,0,1,0.5,1,2,1,2,-15.0,0,0.2042429737080689,0.09132668479903294,0.003155031731640979
2008,4,1,3,9,6,3,C53,14,6,1,38,2,3,0,blouses,3,5,0,0,1,0.3333333333333333,2,3,1,3,5.0,0,0.2042429737080689,0.08348141432456936,0.0026473254759746146
2008,4,1,4,9,6,2,B17,6,6,2,38,2,1,0,skirts,4,5,0,0,1,0.25,2,4,2,3,0.0,1,0.2640072529465095,0.09132668479903294,0.010818978543366576
2008,4,1,5,9,6,2,B26,13,3,1,57,1,2,1,skirts,5,5,0,1,2,0.4,3,5,2,3,19.0,0,0.2640072529465095,0.033593230583257784,0.007506799637352675
2008,4,1,1,29,7,1,A11,3,4,1,62,1,1,1,trousers,1,5,1,0,1,1.0,1,1,1,1,0.0,0,0.3564944091870656,0.21770927772741008,0.02279842852825627
2008,4,1,2,29,7,3,C5,11,2,1,48,1,1,1,blouses,2,5,0,0,2,1.0,1,2,2,2,-14.0,1,0.2042429737080689,0.030740404956180113,0.01272892112420671
2008,4,1,3,29,7,4,P60,14,2,1,28,2,4,0,sale,3,5,0,0,2,0.6666666666666666,2,3,3,3,-20.0,1,0.175255364158356,0.08348141432456936,0.0017286189181021456
2008,4,1,4,29,7,4,P56,2,1,1,33,2,4,0,sale,4,5,0,0,2,0.5,2,4,3,4,5.0,0,0.175255364158356,0.17448171653067393,0.0011604714415231188
2008,4,1,5,29,7,4,P55,14,1,2,33,2,4,0,sale,5,5,0,1,2,0.4,2,5,3,4,0.0,0,0.175255364158356,0.08348141432456936,0.0014868540344514958
2008,4,1,1,9,8,3,C49,4,5,2,26,2,3,0,blouses,1,5,1,0,0,0.0,1,1,1,1,0.0,0,0.2042429737080689,0.0923541855545482,0.003650649743124811
2008,4,1,2,9,8,2,B23,7,2,1,38,2,2,0,skirts,2,5,0,0,0,0.0,2,2,2,2,12.0,1,0.2640072529465095,0.03696585071018434,0.008655182834693262
2008,4,1,3,9,8,3,C5,11,2,1,48,1,1,1,blouses,3,5,0,0,1,0.3333333333333333,3,3,2,3,10.0,1,0.2042429737080689,0.030740404956180113,0.01272892112420671
2008,4,1,4,9,8,3,C19,12,1,1,48,1,2,1,blouses,4,5,0,0,2,0.5,3,4,2,4,0.0,0,0.2042429737080689,0.06035660320338471,0.0031671199758235118
2008,4,1,5,9,8,3,C34,7,6,1,48,1,2,1,blouses,5,5,0,1,3,0.6,3,5,2,4,0.0,0,0.2042429737080689,0.03696585071018434,0.003747355696585071
2008,4,1,1,29,9,1,A18,4,6,1,38,2,1,0,trousers,1,3,1,0,0,0.0,1,1,1,1,0.0,0,0.3564944091870656,0.0923541855545482,0.006781504986400726
2008,4,1,2,29,9,1,A1,8,1,1,28,2,1,0,trousers,2,3,0,0,0,0.0,1,2,1,2,-10.0,0,0.3564944091870656,0.024527047446358415,0.022544575400423088
2008,4,1,3,29,9,2,B26,13,3,1,57,1,2,1,skirts,3,3,0,1,1,0.3333333333333333,2,3,2,3,29.0,1,0.2640072529465095,0.033593230583257784,0.007506799637352675
2008,4,1,1,16,10,1,A1,8,1,1,28,2,1,0,trousers,1,5,1,0,0,0.0,1,1,1,1,0.0,0,0.3564944091870656,0.024527047446358415,0.022544575400423088
2008,4,1,2,16,10,2,B1,4,1,1,57,1,1,1,skirts,2,5,0,0,1,0.5,1,2,2,2,29.0,1,0.2640072529465095,0.0923541855545482,0.012269567845270474
2008,4,1,3,16,10,2,B4,10,2,1,52,1,1,1,skirts,3,5,0,0,2,0.6666666666666666,1,3,2,3,-5.0,0,0.2640072529465095,0.027778785131459656,0.027778785131459656
2008,4,1,4,16,10,2,B16,12,6,1,52,1,1,1,skirts,4,5,0,0,3,0.75,1,4,2,4,0.0,0,0.2640072529465095,0.06035660320338471,0.010045330915684497
2008,4,1,5,16,10,2,B17,6,6,2,38,2,1,0,skirts,5,5,0,1,3,0.6,1,5,2,5,-14.0,0,0.2640072529465095,0.09132668479903294,0.010818978543366576
2008,4,1,1,9,11,1,A3,3,1,1,72,1,1,1,trousers,1,1,1,1,1,1.0,1,1,1,1,0.0,0,0.3564944091870656,0.21770927772741008,0.01564218797219704
2008,4,1,1,29,12,2,B4,10,2,1,52,1,1,1,skirts,1,5,1,0,1,1.0,1,1,1,1,0.0,0,0.2640072529465095,0.027778785131459656,0.027778785131459656
2008,4,1,2,29,12,2,B3,12,1,1,52,1,1,1,skirts,2,5,0,0,2,1.0,1,2,1,2,0.0,0,0.2640072529465095,0.06035660320338471,0.009634330613478393
2008,4,1,3,29,12,2,B3,12,1,1,52,1,1,1,skirts,3,5,0,0,3,1.0,1,2,1,2,0.0,0,0.2640072529465095,0.06035660320338471,0.009634330613478393
2008,4,1,4,29,12,2,B30,9,4,1,57,1,2,1,skirts,4,5,0,0,4,1.0,2,3,1,3,5.0,0,0.2640072529465095,0.07014808099123603,0.005306739196131762
2008,4,1,5,29,12,2,B27,2,3,1,57,1,2,1,skirts,5,5,0,1,5,1.0,2,4,1,4,0.0,0,0.2640072529465095,0.17448171653067393,0.005717739498337866
2008,4,1,1,38,13,1,A1,8,1,1,28,2,1,0,trousers,1,3,1,0,0,0.0,1,1,1,1,0.0,0,0.3564944091870656,0.024527047446358415,0.022544575400423088
2008,4,1,2,38,13,1,A2,3,1,1,43,2,1,0,trousers,2,3,0,0,0,0.0,1,2,1,2,15.0,0,0.3564944091870656,0.21770927772741008,0.027126019945602903
2008,4,1,3,38,13,1,A5,3,2,1,43,2,1,0,trousers,3,3,0,1,0,0.0,1,3,1,2,0.0,0,0.3564944091870656,0.21770927772741008,0.01861589604110003
2008,4,1,1,9,14,1,A41,4,2,1,43,2,3,0,trousers,1,1,1,1,0,0.0,1,1,1,1,0.0,0,0.3564944091870656,0.0923541855545482,0.0037110909640374738
2008,4,1,1,21,15,1,A1,8,1,1,28,2,1,0,trousers,1,5,1,0,0,0.0,1,1,1,1,0.0,0,0.3564944091870656,0.024527047446358415,0.022544575400423088
2008,4,1,2,21,15,1,A2,3,1,1,43,2,1,0,trousers,2,5,0,0,0,0.0,1,2,1,2,15.0,0,0.3564944091870656,0.21770927772741008,0.027126019945602903
2008,4,1,3,21,15,1,A5,3,2,1,43,2,1,0,trousers,3,5,0,0,0,0.0,1,3,1,2,0.0,0,0.3564944091870656,0.21770927772741008,0.01861589604110003
2008,4,1,4,21,15,2,B1,4,1,1,57,1,1,1,skirts,4,5,0,0,1,0.25,1,4,2,3,14.0,1,0.2640072529465095,0.0923541855545482,0.012269567845270474
2008,4,1,5,21,15,2,B2,3,1,2,57,1,1,1,skirts,5,5,0,1,2,0.4,1,5,2,3,0.0,0,0.2640072529465095,0.21770927772741008,0.008570565125415533
2008,4,1,1,29,16,4,P61,1,3,2,28,2,4,0,sale,1,2,1,0,0,0.0,1,1,1,1,0.0,0,0.175255364158356,0.0504925959504382,0.0022605016621335752
2008,4,1,2,29,16,4,P62,12,3,2,33,2,4,0,sale,2,2,0,1,0,0.0,1,2,1,2,5.0,0,0.175255364158356,0.06035660320338471,0.0005439709882139619
2008,4,1,1,9,17,3,C7,13,3,1,48,1,1,1,blouses,1,5,1,0,1,1.0,1,1,1,1,0.0,0,0.2042429737080689,0.033593230583257784,0.007796917497733454
2008,4,1,2,9,17,3,C57,5,1,2,33,2,4,0,blouses,2,5,0,0,1,0.5,2,2,1,2,-15.0,0,0.2042429737080689,0.0060441220912662436,0.0029616198247204594
2008,4,1,3,9,17,1,A6,3,2,1,43,2,1,0,trousers,3,5,0,0,1,0.3333333333333333,2,3,2,3,10.0,1,0.3564944091870656,0.21770927772741008,0.013720157147174374
2008,4,1,4,9,17,3,C47,13,4,2,18,2,3,0,blouses,4,5,0,0,1,0.25,3,4,2,3,-25.0,1,0.2042429737080689,0.033593230583257784,0.0007615593834995467
2008,4,1,5,9,17,2,B26,13,3,1,57,1,2,1,skirts,5,5,0,1,2,0.4,4,5,3,3,39.0,1,0.2640072529465095,0.033593230583257784,0.007506799637352675
2008,4,1,1,9,18,1,A17,2,6,1,62,1,1,1,trousers,1,5,1,0,1,1.0,1,1,1,1,0.0,0,0.3564944091870656,0.17448171653067393,0.011604714415231188
2008,4,1,2,9,18,1,A17,2,6,1,62,1,1,1,trousers,2,5,0,0,2,1.0,1,1,1,1,0.0,0,0.3564944091870656,0.17448171653067393,0.011604714415231188
2008,4,1,3,9,18,1,A2,3,1,1,43,2,1,0,trousers,3,5,0,0,2,0.6666666666666666,1,2,1,2,-19.0,0,0.3564944091870656,0.21770927772741008,0.027126019945602903
2008,4,1,4,9,18,1,A1,8,1,1,28,2,1,0,trousers,4,5,0,0,2,0.5,1,3,1,3,-15.0,0,0.3564944091870656,0.024527047446358415,0.022544575400423088
2008,4,1,5,9,18,1,A7,3,3,1,43,2,1,0,trousers,5,5,0,1,2,0.4,1,4,1,3,15.0,0,0.3564944091870656,0.21770927772741008,0.011193714113025083
2008,4,1,1,29,19,1,A10,3,4,1,38,2,1,0,trousers,1,5,1,0,0,0.0,1,1,1,1,0.0,0,0.3564944091870656,0.21770927772741008,0.015061952251435478
2008,4,1,2,29,19,3,C11,7,4,1,33,2,1,0,blouses,2,5,0,0,0,0.0,1,2,2,2,-5.0,1,0.2042429737080689,0.03696585071018434,0.005125415533393775
2008,4,1,3,29,19,3,C5,11,2,1,48,1,1,1,blouses,3,5,0,0,1,0.3333333333333333,1,3,2,3,15.0,0,0.2042429737080689,0.030740404956180113,0.01272892112420671
2008,4,1,4,29,19,3,C22,11,2,2,43,1,2,1,blouses,4,5,0,0,2,0.5,2,4,2,3,-5.0,0,0.2042429737080689,0.030740404956180113,0.0013176186158960412
2008,4,1,5,29,19,4,P12,4,4,1,33,2,1,0,sale,5,5,0,1,2,0.4,2,5,3,4,-10.0,1,0.175255364158356,0.0923541855545482,0.005693563009972802
2008,4,1,1,29,20,1,A4,3,2,2,38,2,1,0,trousers,1,3,1,0,0,0.0,1,1,1,1,0.0,0,0.3564944091870656,0.21770927772741008,0.022375339981867633
2008,4,1,2,29,20,1,A23,6,2,2,33,2,2,0,trousers,2,3,0,0,0,0.0,2,2,1,2,-5.0,0,0.3564944091870656,0.09132668479903294,0.0024780900574191598
2008,4,1,3,29,20,4,P1,3,1,1,38,1,1,1,sale,3,3,0,1,1,0.3333333333333333,2,3,2,2,5.0,1,0.175255364158356,0.21770927772741008,0.018386219401631914
2008,4,1,1,29,21,4,P12,4,4,1,33,2,1,0,sale,1,5,1,0,0,0.0,1,1,1,1,0.0,0,0.175255364158356,0.0923541855545482,0.005693563009972802
2008,4,1,2,29,21,2,B12,2,4,1,38,2,1,0,skirts,2,5,0,0,0,0.0,1,2,2,2,5.0,1,0.2640072529465095,0.17448171653067393,0.010323360531882745
2008,4,1,3,29,21,2,B10,2,4,1,67,1,1,1,skirts,3,5,0,0,1,0.3333333333333333,1,3,2,2,29.0,0,0.2640072529465095,0.17448171653067393,0.021686310063463284
2008,4,1,4,29,21,2,B15,9,5,1,38,2,1,0,skirts,4,5,0,0,1,0.25,1,4,2,3,-29.0,0,0.2640072529465095,0.07014808099123603,0.010903596252644303
2008,4,1,5,29,21,3,C14,9,5,1,23,2,1,0,blouses,5,5,0,1,1,0.2,1,5,3,3,-15.0,1,0.2042429737080689,0.07014808099123603,0.007978241160471442
2008,4,1,1,9,22,1,A12,2,4,1,38,2,1,0,trousers,1,4,1,0,0,0.0,1,1,1,1,0.0,0,0.3564944091870656,0.17448171653067393,0.01326080386823814
2008,4,1,2,9,22,1,A10,3,4,1,38,2,1,0,trousers,2,4,0,0,0,0.0,1,2,1,2,0.0,0,0.3564944091870656,0.21770927772741008,0.015061952251435478
2008,4,1,3,9,22,1,A31,6,5,2,62,1,2,1,trousers,3,4,0,0,1,0.3333333333333333,2,3,1,3,24.0,0,0.3564944091870656,0.09132668479903294,0.008872771229978845
2008,4,1,4,9,22,1,A20,2,1,2,38,2,2,0,trousers,4,4,0,1,1,0.25,2,4,1,3,-24.0,0,0.3564944091870656,0.17448171653067393,0.0032154729525536415
2008,4,1,1,29,23,1,A15,14,5,2,33,2,1,0,trousers,1,3,1,0,0,0.0,1,1,1,1,0.0,0,0.3564944091870656,0.08348141432456936,0.02076760350559081
2008,4,1,2,29,23,2,B27,2,3,1,57,1,2,1,skirts,2,3,0,0,1,0.5,2,2,2,2,24.0,1,0.2640072529465095,0.17448171653067393,0.005717739498337866
2008,4,1,3,29,23,4,P56,2,1,1,33,2,4,0,sale,3,3,0,1,1,0.3333333333333333,3,3,3,2,-24.0,1,0.175255364158356,0.17448171653067393,0.0011604714415231188
2008,4,1,1,29,24,2,B1,4,1,1,57,1,1,1,skirts,1,5,1,0,1,1.0,1,1,1,1,0.0,0,0.2640072529465095,0.0923541855545482,0.012269567845270474
2008,4,1,2,29,24,2,B7,6,3,1,38,2,1,0,skirts,2,5,0,0,1,0.5,1,2,1,2,-19.0,0,0.2640072529465095,0.09132668479903294,0.0034451495920217587
2008,4,1,3,29,24,2,B4,10,2,1,52,1,1,1,skirts,3,5,0,0,2,0.6666666666666666,1,3,1,3,14.0,0,0.2640072529465095,0.027778785131459656,0.027778785131459656
2008,4,1,4,29,24,2,B32,6,5,1,38,2,2,0,skirts,4,5,0,0,2,0.5,2,4,1,3,-14.0,0,0.2640072529465095,0.09132668479903294,0.007651858567543065
2008,4,1,5,29,24,3,C15,6,5,1,33,2,1,0,blouses,5,5,0,1,2,0.4,2,5,2,3,-5.0,1,0.2042429737080689,0.09132668479903294,0.003155031731640979
2008,4,1,1,9,25,2,B17,6,6,2,38,2,1,0,skirts,1,2,1,0,0,0.0,1,1,1,1,0.0,0,0.2640072529465095,0.09132668479903294,0.010818978543366576
2008,4,1,2,9,25,3,C7,13,3,1,48,1,1,1,blouses,2,2,0,1,1,0.5,1,2,2,2,10.0,1,0.2042429737080689,0.033593230583257784,0.007796917497733454
2008,4,1,1,29,26,1,A11,3,4,1,62,1,1,1,trousers,1,2,1,0,1,1.0,1,1,1,1,0.0,0,0.3564944091870656,0.21770927772741008,0.02279842852825627
2008,4,1,2,29,26,1,A10,3,4,1,38,2,1,0,trousers,2,2,0,1,1,0.5,1,2,1,1,-24.0,0,0.3564944091870656,0.21770927772741008,0.015061952251435478
2008,4,1,1,9,27,2,B2,3,1,2,57,1,1,1,skirts,1,5,1,0,1,1.0,1,1,1,1,0.0,0,0.2640072529465095,0.21770927772741008,0.008570565125415533
2008,4,1,2,9,27,1,A4,3,2,2,38,2,1,0,trousers,2,5,0,0,1,0.5,1,2,2,1,-19.0,1,0.3564944091870656,0.21770927772741008,0.022375339981867633
2008,4,1,3,9,27,3,C2,12,1,1,43,1,1,1,blouses,3,5,0,0,2,0.6666666666666666,1,3,3,2,5.0,1,0.2042429737080689,0.06035660320338471,0.008304623753399819
2008,4,1,4,9,27,3,C8,2,3,2,48,1,1,1,blouses,4,5,0,0,3,0.75,1,4,3,3,5.0,0,0.2042429737080689,0.17448171653067393,0.005705651254155334
2008,4,1,5,9,27,3,C18,9,6,1,48,1,1,1,blouses,5,5,0,1,4,0.8,1,5,3,4,0.0,0,0.2042429737080689,0.07014808099123603,0.00413417951042611
2008,4,1,1,29,28,1,A6,3,2,1,43,2,1,0,trousers,1,5,1,0,0,0.0,1,1,1,1,0.0,0,0.3564944091870656,0.21770927772741008,0.013720157147174374
2008,4,1,2,29,28,1,A15,14,5,2,33,2,1,0,trousers,2,5,0,0,0,0.0,1,2,1,2,-10.0,0,0.3564944091870656,0.08348141432456936,0.02076760350559081
2008,4,1,3,29,28,1,A10,3,4,1,38,2,1,0,trousers,3,5,0,0,0,0.0,1,3,1,2,5.0,0,0.3564944091870656,0.21770927772741008,0.015061952251435478
2008,4,1,4,29,28,3,C7,13,3,1,48,1,1,1,blouses,4,5,0,0,1,0.25,1,4,2,3,10.0,1,0.2042429737080689,0.033593230583257784,0.007796917497733454
2008,4,1,5,29,28,4,P2,3,1,1,28,2,1,0,sale,5,5,0,1,1,0.2,1,5,3,3,-20.0,1,0.175255364158356,0.21770927772741008,0.005935327893623451
2008,4,1,1,29,29,1,A11,3,4,1,62,1,1,1,trousers,1,3,1,0,1,1.0,1,1,1,1,0.0,0,0.3564944091870656,0.21770927772741008,0.02279842852825627
2008,4,1,2,29,29,1,A1,8,1,1,28,2,1,0,trousers,2,3,0,0,1,0.5,1,2,1,2,-34.0,0,0.3564944091870656,0.024527047446358415,0.022544575400423088
2008,4,1,3,29,29,1,A7,3,3,1,43,2,1,0,trousers,3,3,0,1,1,0.3333333333333333,1,3,1,2,15.0,0,0.3564944091870656,0.21770927772741008,0.011193714113025083
2008,4,1,1,29,30,2,B7,6,3,1,38,2,1,0,skirts,1,5,1,0,0,0.0,1,1,1,1,0.0,0,0.2640072529465095,0.09132668479903294,0.0034451495920217587
2008,4,1,2,29,30,2,B9,1,3,1,48,2,1,0,skirts,2,5,0,0,0,0.0,1,2,1,2,10.0,0,0.2640072529465095,0.0504925959504382,0.005149592021758839
2008,4,1,3,29,30,3,C26,14,3,1,28,2,2,0,blouses,3,5,0,0,0,0.0,2,3,2,3,-20.0,1,0.2042429737080689,0.08348141432456936,0.0022725899063161074
2008,4,1,4,29,30,3,C19,12,1,1,48,1,2,1,blouses,4,5,0,0,1,0.25,2,4,2,4,20.0,0,0.2042429737080689,0.06035660320338471,0.0031671199758235118
2008,4,1,5,29,30,3,C31,12,5,1,33,2,2,0,blouses,5,5,0,1,1,0.2,2,5,2,4,-15.0,0,0.2042429737080689,0.06035660320338471,0.0014989422786340285
2008,4,1,1,29,31,1,A16,1,6,1,33,2,1,0,trousers,1,5,1,0,0,0.0,1,1,1,1,0.0,0,0.3564944091870656,0.0504925959504382,0.010927772741009369
2008,4,1,2,29,31,2,B4,10,2,1,52,1,1,1,skirts,2,5,0,0,1,0.5,1,2,2,2,19.0,1,0.2640072529465095,0.027778785131459656,0.027778785131459656
2008,4,1,3,29,31,2,B15,9,5,1,38,2,1,0,skirts,3,5,0,0,1,0.3333333333333333,1,3,2,3,-14.0,0,0.2640072529465095,0.07014808099123603,0.010903596252644303
2008,4,1,4,29,31,3,C5,11,2,1,48,1,1,1,blouses,4,5,0,0,2,0.5,1,4,3,4,10.0,1,0.2042429737080689,0.030740404956180113,0.01272892112420671
2008,4,1,5,29,31,3,C17,14,6,1,48,1,1,1,blouses,5,5,0,1,3,0.6,1,5,3,5,0.0,0,0.2042429737080689,0.08348141432456936,0.00971894832275612
2008,4,1,1,29,32,1,A2,3,1,1,43,2,1,0,trousers,1,3,1,0,0,0.0,1,1,1,1,0.0,0,0.3564944091870656,0.21770927772741008,0.027126019945602903
2008,4,1,2,29,32,1,A12,2,4,1,38,2,1,0,trousers,2,3,0,0,0,0.0,1,2,1,2,-5.0,0,0.3564944091870656,0.17448171653067393,0.01326080386823814
2008,4,1,3,29,32,4,P29,5,4,2,33,2,2,0,sale,3,3,0,1,0,0.0,2,3,2,3,-5.0,1,0.175255364158356,0.0060441220912662436,0.0015714717437292232
2008,4,1,1,29,33,1,A17,2,6,1,62,1,1,1,trousers,1,5,1,0,1,1.0,1,1,1,1,0.0,0,0.3564944091870656,0.17448171653067393,0.011604714415231188
2008,4,1,2,29,33,1,A7,3,3,1,43,2,1,0,trousers,2,5,0,0,1,0.5,1,2,1,2,-19.0,0,0.3564944091870656,0.21770927772741008,0.011193714113025083
2008,4,1,3,29,33,1,A2,3,1,1,43,2,1,0,trousers,3,5,0,0,1,0.3333333333333333,1,3,1,2,0.0,0,0.3564944091870656,0.21770927772741008,0.027126019945602903
2008,4,1,4,29,33,1,A3,3,1,1,72,1,1,1,trousers,4,5,0,0,2,0.5,1,4,1,2,29.0,0,0.3564944091870656,0.21770927772741008,0.01564218797219704
2008,4,1,5,29,33,4,P1,3,1,1,38,1,1,1,sale,5,5,0,1,3,0.6,1,5,2,2,-34.0,1,0.175255364158356,0.21770927772741008,0.018386219401631914
2008,4,1,1,24,34,3,C17,14,6,1,48,1,1,1,blouses,1,2,1,0,1,1.0,1,1,1,1,0.0,0,0.2042429737080689,0.08348141432456936,0.00971894832275612
2008,4,1,2,24,34,2,B1,4,1,1,57,1,1,1,skirts,2,2,0,1,2,1.0,1,2,2,2,9.0,1,0.2640072529465095,0.0923541855545482,0.012269567845270474
2008,4,1,1,24,35,2,B4,10,2,1,52,1,1,1,skirts,1,5,1,0,1,1.0,1,1,1,1,0.0,0,0.2640072529465095,0.027778785131459656,0.027778785131459656
2008,4,1,2,24,35,1,A28,1,4,2,43,2,2,0,trousers,2,5,0,0,1,0.5,2,2,2,2,-9.0,1,0.3564944091870656,0.0504925959504382,0.002949531580537927
2008,4,1,3,24,35,1,A21,1,1,1,62,1,2,1,trousers,3,5,0,0,2,0.6666666666666666,2,3,2,2,19.0,0,0.3564944091870656,0.0504925959504382,0.007809005741915987
2008,4,1,4,24,35,1,A16,1,6,1,33,2,1,0,trousers,4,5,0,0,2,0.5,2,4,2,2,-29.0,0,0.3564944091870656,0.0504925959504382,0.010927772741009369
2008,4,1,5,24,35,1,A11,3,4,1,62,1,1,1,trousers,5,5,0,1,3,0.6,2,5,2,3,29.0,0,0.3564944091870656,0.21770927772741008,0.02279842852825627
2008,4,1,1,29,36,4,P16,7,6,1,33,2,1,0,sale,1,2,1,0,0,0.0,1,1,1,1,0.0,0,0.175255364158356,0.03696585071018434,0.010299184043517678
2008,4,1,2,29,36,4,P16,7,6,1,33,2,1,0,sale,2,2,0,1,0,0.0,1,1,1,1,0.0,0,0.175255364158356,0.03696585071018434,0.010299184043517678
2008,4,1,1,29,37,2,B30,9,4,1,57,1,2,1,skirts,1,5,1,0,1,1.0,1,1,1,1,0.0,0,0.2640072529465095,0.07014808099123603,0.005306739196131762
2008,4,1,2,29,37,2,B28,9,4,1,38,2,2,0,skirts,2,5,0,0,1,0.5,1,2,1,1,-19.0,0,0.2640072529465095,0.07014808099123603,0.0021154427319431852
2008,4,1,3,29,37,2,B31,9,5,1,57,1,2,1,skirts,3,5,0,0,2,0.6666666666666666,1,3,1,1,19.0,0,0.2640072529465095,0.07014808099123603,0.008485947416137805
2008,4,1,4,29,37,1,A8,3,3,1,62,1,1,1,trousers,4,5,0,0,3,0.75,2,4,2,2,5.0,1,0.3564944091870656,0.21770927772741008,0.010262919310970082
2008,4,1,5,29,37,1,A1,8,1,1,28,2,1,0,trousers,5,5,0,1,3,0.6,2,5,2,3,-34.0,0,0.3564944091870656,0.024527047446358415,0.022544575400423088
2008,4,1,1,29,38,4,P16,7,6,1,33,2,1,0,sale,1,4,1,0,0,0.0,1,1,1,1,0.0,0,0.175255364158356,0.03696585071018434,0.010299184043517678
2008,4,1,2,29,38,4,P33,9,5,1,43,1,2,1,sale,2,4,0,0,1,0.5,2,2,1,2,10.0,0,0.175255364158356,0.07014808099123603,0.003650649743124811
2008,4,1,3,29,38,1,A11,3,4,1,62,1,1,1,trousers,3,4,0,0,2,0.6666666666666666,2,3,2,3,19.0,1,0.3564944091870656,0.21770927772741008,0.02279842852825627
2008,4,1,4,29,38,1,A5,3,2,1,43,2,1,0,trousers,4,4,0,1,2,0.5,2,4,2,3,-19.0,0,0.3564944091870656,0.21770927772741008,0.01861589604110003
