month,day,order,country,session ID,page 2 (clothing model),colour,location,model photography,price,page,main_category,higher_than_average
4,1,1,Poland,28,A6,blue,2,en face,43,1,trousers,0
4,1,2,Poland,28,A15,white,5,profile,33,1,trousers,0
4,1,3,Poland,28,A10,blue,4,en face,38,1,trousers,0
4,1,4,Poland,28,C7,violet,3,en face,48,1,blouses,1
4,1,5,Poland,28,P2,blue,1,en face,28,1,sale,0
4,1,6,Poland,28,P10,brown,4,profile,65,1,sale,1
4,1,1,Poland,29,A11,blue,4,en face,62,1,trousers,1
4,1,2,Poland,29,A1,navy blue,1,en face,28,1,trousers,0
4,1,3,Poland,29,A7,blue,3,en face,43,1,trousers,0
4,1,1,Poland,30,B7,gray,3,en face,38,1,skirts,0
4,1,2,Poland,30,B9,beige,3,en face,48,1,skirts,0
4,1,3,Poland,30,C26,white,3,en face,28,2,blouses,0
4,1,4,Poland,30,C19,red,1,en face,48,2,blouses,1
4,1,5,Poland,30,C31,red,5,en face,33,2,blouses,0
4,1,6,Poland,30,C53,white,6,en face,38,3,blouses,0
4,1,7,Poland,30,A15,white,5,profile,33,1,trousers,0
4,1,8,Poland,30,A5,blue,2,en face,43,1,trousers,0
4,1,9,Poland,30,A17,black,6,en face,62,1,trousers,1
4,1,10,Poland,30,A35,white,6,profile,33,2,trousers,0
4,1,11,Poland,30,A36,beige,6,en face,33,2,trousers,0
4,1,1,Poland,31,A16,beige,6,en face,33,1,trousers,0
4,1,2,Poland,31,B4,olive,2,en face,52,1,skirts,1
4,1,3,Poland,31,B15,of many colors,5,en face,38,1,skirts,0
4,1,4,Poland,31,C5,pink,2,en face,48,1,blouses,1
4,1,5,Poland,31,C17,white,6,en face,48,1,blouses,1
4,1,6,Poland,31,C17,white,6,en face,48,1,blouses,1
4,1,7,Poland,31,A16,beige,6,en face,33,1,trousers,0
4,1,8,Poland,31,B4,olive,2,en face,52,1,skirts,1
4,1,9,Poland,31,B34,black,6,en face,48,2,skirts,0
4,1,10,Poland,31,C56,gray,1,profile,57,4,blouses,1
4,1,11,Poland,31,C49,brown,5,profile,26,3,blouses,0
4,1,12,Poland,31,C46,black,4,en face,48,3,blouses,1
4,1,1,Poland,32,A2,blue,1,en face,43,1,trousers,0
4,1,2,Poland,32,A12,black,4,en face,38,1,trousers,0
4,1,3,Poland,32,P29,burgundy,4,profile,33,2,sale,0
4,1,1,Poland,33,A17,black,6,en face,62,1,trousers,1
4,1,2,Poland,33,A7,blue,3,en face,43,1,trousers,0
4,1,3,Poland,33,A2,blue,1,en face,43,1,trousers,0
4,1,4,Poland,33,A3,blue,1,en face,72,1,trousers,1
4,1,5,Poland,33,P1,blue,1,en face,38,1,sale,1
4,1,6,Poland,33,P2,blue,1,en face,28,1,sale,0
4,1,7,Poland,33,A21,beige,1,en face,62,2,trousers,1
4,1,8,Poland,33,A41,brown,2,en face,43,3,trousers,0
4,1,9,Poland,33,P12,brown,4,en face,33,1,sale,0
4,1,10,Poland,33,P63,white,3,profile,28,4,sale,0
4,1,11,Poland,33,P48,of many colors,4,profile,33,3,sale,0
4,1,12,Poland,33,P30,brown,4,en face,33,2,sale,0
4,1,13,Poland,33,P32,blue,5,profile,43,2,sale,1
4,1,14,Poland,33,P66,of many colors,4,profile,43,4,sale,1
4,1,15,Poland,33,P57,brown,1,en face,43,4,sale,1
4,1,16,Poland,33,P12,brown,4,en face,33,1,sale,0
4,1,17,Poland,33,B3,red,1,en face,52,1,skirts,1
4,1,18,Poland,33,P50,gray,5,profile,33,3,sale,0
4,1,19,Poland,33,P43,green,3,profile,38,3,sale,1
4,1,20,Poland,33,P12,brown,4,en face,33,1,sale,0
4,1,21,Poland,33,P4,brown,2,en face,38,1,sale,1
4,1,1,Lithuania,34,C17,white,6,en face,48,1,blouses,1
4,1,2,Lithuania,34,B1,brown,1,en face,57,1,skirts,1
4,1,1,Lithuania,35,B4,olive,2,en face,52,1,skirts,1
4,1,2,Lithuania,35,A28,beige,4,profile,43,2,trousers,0
4,1,3,Lithuania,35,A21,beige,1,en face,62,2,trousers,1
4,1,4,Lithuania,35,A16,beige,6,en face,33,1,trousers,0
4,1,5,Lithuania,35,A11,blue,4,en face,62,1,trousers,1
4,1,1,Poland,36,P16,green,6,en face,33,1,sale,0
4,1,2,Poland,36,P16,green,6,en face,33,1,sale,0
4,1,1,Poland,37,B30,of many colors,4,en face,57,2,skirts,1
4,1,2,Poland,37,B28,of many colors,4,en face,38,2,skirts,0
4,1,3,Poland,37,B31,of many colors,5,en face,57,2,skirts,1
4,1,4,Poland,37,A8,blue,3,en face,62,1,trousers,1
4,1,5,Poland,37,A1,navy blue,1,en face,28,1,trousers,0
4,1,6,Poland,37,A11,blue,4,en face,62,1,trousers,1
4,1,7,Poland,37,P15,brown,5,profile,38,1,sale,1
4,1,1,Poland,38,P16,green,6,en face,33,1,sale,0
4,1,2,Poland,38,P33,of many colors,5,en face,43,2,sale,1
4,1,3,Poland,38,A11,blue,4,en face,62,1,trousers,1
4,1,4,Poland,38,A5,blue,2,en face,43,1,trousers,0
4,1,1,United Kingdom,39,C19,red,1,en face,48,2,blouses,1
4,1,2,United Kingdom,39,A1,navy blue,1,en face,28,1,trousers,0
4,1,1,Czech Republic,40,A2,blue,1,en face,43,1,trousers,0
4,1,2,Czech Republic,40,A5,blue,2,en face,43,1,trousers,0
4,1,3,Czech Republic,40,A9,blue,3,en face,82,1,trousers,1
4,1,4,Czech Republic,40,A12,black,4,en face,38,1,trousers,0
4,1,5,Czech Republic,40,A11,blue,4,en face,62,1,trousers,1
4,1,6,Czech Republic,40,B15,of many colors,5,en face,38,1,skirts,0
4,1,7,Czech Republic,40,B33,gray,5,profile,33,2,skirts,0
4,1,1,Czech Republic,41,A1,navy blue,1,en face,28,1,trousers,0
4,1,2,Czech Republic,41,A19,red,1,profile,33,2,trousers,0
4,1,1,Poland,42,A5,blue,2,en face,43,1,trousers,0
4,1,1,Czech Republic,43,B19,violet,1,en face,38,2,skirts,0
4,1,2,Czech Republic,43,B24,pink,2,en face,57,2,skirts,1
4,1,3,Czech Republic,43,B26,violet,3,en face,57,2,skirts,1
4,1,4,Czech Republic,43,B27,black,3,en face,57,2,skirts,1
4,1,5,Czech Republic,43,B23,green,2,en face,38,2,skirts,0
4,1,6,Czech Republic,43,B17,gray,6,profile,38,1,skirts,0
4,1,7,Czech Republic,43,B16,red,6,en face,52,1,skirts,1
4,1,8,Czech Republic,43,B13,red,5,profile,62,1,skirts,1
4,1,9,Czech Republic,43,B14,black,5,en face,62,1,skirts,1
4,1,10,Czech Republic,43,B26,violet,3,en face,57,2,skirts,1
4,1,11,Czech Republic,43,B24,pink,2,en face,57,2,skirts,1
4,1,12,Czech Republic,43,B6,black,2,en face,52,1,skirts,1
4,1,13,Czech Republic,43,B26,violet,3,en face,57,2,skirts,1
4,1,14,Czech Republic,43,B32,gray,5,en face,38,2,skirts,0
4,1,15,Czech Republic,43,B26,violet,3,en face,57,2,skirts,1
4,1,16,Czech Republic,43,B26,violet,3,en face,57,2,skirts,1
4,1,17,Czech Republic,43,B26,violet,3,en face,57,2,skirts,1
4,1,18,Czech Republic,43,B26,violet,3,en face,57,2,skirts,1
4,1,19,Czech Republic,43,B26,violet,3,en face,57,2,skirts,1
4,1,20,Czech Republic,43,B26,violet,3,en face,57,2,skirts,1
4,1,21,Czech Republic,43,B26,violet,3,en face,57,2,skirts,1
4,1,22,Czech Republic,43,B26,violet,3,en face,57,2,skirts,1
4,1,23,Czech Republic,43,B23,green,2,en face,38,2,skirts,0
4,1,1,Czech Republic,44,A5,blue,2,en face,43,1,trousers,0
4,1,2,Czech Republic,44,A12,black,4,en face,38,1,trousers,0
4,1,3,Czech Republic,44,B27,black,3,en face,57,2,skirts,1
4,1,4,Czech Republic,44,B3,red,1,en face,52,1,skirts,1
4,1,5,Czech Republic,44,B2,blue,1,profile,57,1,skirts,1
4,1,6,Czech Republic,44,B10,black,4,en face,67,1,skirts,1
4,1,7,Czech Republic,44,B14,black,5,en face,62,1,skirts,1
4,1,8,Czech Republic,44,B6,black,2,en face,52,1,skirts,1
4,1,9,Czech Republic,44,C7,violet,3,en face,48,1,blouses,1
4,1,10,Czech Republic,44,C19,red,1,en face,48,2,blouses,1
4,1,11,Czech Republic,44,C57,burgundy,1,profile,33,4,blouses,0
4,1,1,unidentified,45,A4,blue,2,profile,38,1,trousers,0
4,1,2,unidentified,45,A15,white,5,profile,33,1,trousers,0
4,1,3,unidentified,45,A29,black,4,en face,60,2,trousers,1
4,1,1,Czech Republic,46,A11,blue,4,en face,62,1,trousers,1
4,1,1,Poland,47,B1,brown,1,en face,57,1,skirts,1
4,1,2,Poland,47,B10,black,4,en face,67,1,skirts,1
4,1,3,Poland,47,B17,gray,6,profile,38,1,skirts,0
4,1,4,Poland,47,P1,blue,1,en face,38,1,sale,1
4,1,5,Poland,47,P49,white,5,en face,33,3,sale,0
4,1,1,Poland,48,A4,blue,2,profile,38,1,trousers,0
4,1,2,Poland,48,P4,brown,2,en face,38,1,sale,1
4,1,3,Poland,48,P15,brown,5,profile,38,1,sale,1
4,1,1,Czech Republic,49,B4,olive,2,en face,52,1,skirts,1
4,1,2,Czech Republic,49,B16,red,6,en face,52,1,skirts,1
4,1,3,Czech Republic,49,B2,blue,1,profile,57,1,skirts,1
4,1,4,Czech Republic,49,B1,brown,1,en face,57,1,skirts,1
4,1,5,Czech Republic,49,B9,beige,3,en face,48,1,skirts,0
4,1,6,Czech Republic,49,C5,pink,2,en face,48,1,blouses,1
4,1,7,Czech Republic,49,C7,violet,3,en face,48,1,blouses,1
4,1,8,Czech Republic,49,C3,gray,1,profile,23,1,blouses,0
4,1,9,Czech Republic,49,C9,gray,3,en face,48,1,blouses,1
4,1,10,Czech Republic,49,C17,white,6,en face,48,1,blouses,1
4,1,11,Czech Republic,49,C18,of many colors,6,en face,48,1,blouses,1
4,1,12,Czech Republic,49,C11,green,4,en face,33,1,blouses,0
4,1,13,Czech Republic,49,C14,of many colors,5,en face,23,1,blouses,0
4,1,14,Czech Republic,49,C34,green,6,en face,48,2,blouses,1
4,1,15,Czech Republic,49,C36,white,6,en face,43,2,blouses,1
4,1,16,Czech Republic,49,C37,black,1,en face,43,3,blouses,1
4,1,17,Czech Republic,49,C39,gray,1,en face,77,3,blouses,1
4,1,18,Czech Republic,49,C49,brown,5,profile,26,3,blouses,0
4,1,19,Czech Republic,49,C50,of many colors,5,profile,20,3,blouses,0
4,1,20,Czech Republic,49,C51,gray,5,en face,20,3,blouses,0
4,1,21,Czech Republic,49,C52,black,6,en face,38,3,blouses,0
4,1,22,Czech Republic,49,C57,burgundy,1,profile,33,4,blouses,0
4,1,23,Czech Republic,49,C18,of many colors,6,en face,48,1,blouses,1
4,1,24,Czech Republic,49,A1,navy blue,1,en face,28,1,trousers,0
4,1,25,Czech Republic,49,A2,blue,1,en face,43,1,trousers,0
4,1,26,Czech Republic,49,A3,blue,1,en face,72,1,trousers,1
4,1,27,Czech Republic,49,A5,blue,2,en face,43,1,trousers,0
4,1,28,Czech Republic,49,A6,blue,2,en face,43,1,trousers,0
4,1,29,Czech Republic,49,A7,blue,3,en face,43,1,trousers,0
4,1,30,Czech Republic,49,A8,blue,3,en face,62,1,trousers,1
4,1,31,Czech Republic,49,A9,blue,3,en face,82,1,trousers,1
4,1,32,Czech Republic,49,A10,blue,4,en face,38,1,trousers,0
4,1,33,Czech Republic,49,A12,black,4,en face,38,1,trousers,0
4,1,34,Czech Republic,49,A13,beige,5,en face,28,1,trousers,0
4,1,35,Czech Republic,49,A15,white,5,profile,33,1,trousers,0
4,1,36,Czech Republic,49,A16,beige,6,en face,33,1,trousers,0
4,1,37,Czech Republic,49,A17,black,6,en face,62,1,trousers,1
4,1,38,Czech Republic,49,A31,gray,5,profile,62,2,trousers,1
4,1,39,Czech Republic,49,A19,red,1,profile,33,2,trousers,0
4,1,40,Czech Republic,49,A36,beige,6,en face,33,2,trousers,0
4,1,41,Czech Republic,49,A42,gray,2,en face,28,3,trousers,0
4,1,1,Poland,50,B19,violet,1,en face,38,2,skirts,0
4,1,2,Poland,50,B24,pink,2,en face,57,2,skirts,1
4,1,3,Poland,50,B29,black,4,en face,62,2,skirts,1
4,1,4,Poland,50,B23,green,2,en face,38,2,skirts,0
4,1,1,Czech Republic,51,A11,blue,4,en face,62,1,trousers,1
4,1,2,Czech Republic,51,A1,navy blue,1,en face,28,1,trousers,0
4,1,3,Czech Republic,51,A3,blue,1,en face,72,1,trousers,1
4,1,4,Czech Republic,51,A3,blue,1,en face,72,1,trousers,1
4,1,1,Switzerland,52,A13,beige,5,en face,28,1,trousers,0
4,1,2,Switzerland,52,B9,beige,3,en face,48,1,skirts,0
4,1,3,Switzerland,52,B13,red,5,profile,62,1,skirts,1
4,1,4,Switzerland,52,B12,black,4,en face,38,1,skirts,0
4,1,5,Switzerland,52,A13,beige,5,en face,28,1,trousers,0
4,1,6,Switzerland,52,B10,black,4,en face,67,1,skirts,1
4,1,7,Switzerland,52,B11,black,4,en face,43,1,skirts,0
4,1,8,Switzerland,52,P16,green,6,en face,33,1,sale,0
4,1,9,Switzerland,52,P1,blue,1,en face,38,1,sale,1
4,1,1,Czech Republic,53,A13,beige,5,en face,28,1,trousers,0
4,1,2,Czech Republic,53,A2,blue,1,en face,43,1,trousers,0
4,1,3,Czech Republic,53,A5,blue,2,en face,43,1,trousers,0
4,1,1,Poland,54,P4,brown,2,en face,38,1,sale,1
4,1,2,Poland,54,P6,black,2,en face,43,1,sale,1
4,1,3,Poland,54,P17,black,6,profile,38,1,sale,1
4,1,4,Poland,54,P10,brown,4,profile,65,1,sale,1
4,1,1,Poland,55,P11,brown,4,profile,38,1,sale,1
4,1,2,Poland,55,P16,green,6,en face,33,1,sale,0
4,1,3,Poland,55,P15,brown,5,profile,38,1,sale,1
4,1,4,Poland,55,P15,brown,5,profile,38,1,sale,1
4,1,5,Poland,55,C1,brown,1,profile,28,1,blouses,0
4,1,6,Poland,55,C13,of many colors,5,en face,48,1,blouses,1
4,1,7,Poland,55,C13,of many colors,5,en face,48,1,blouses,1
4,1,8,Poland,55,C17,white,6,en face,48,1,blouses,1
4,1,1,Poland,56,A14,blue,5,en face,60,1,trousers,1
4,1,2,Poland,56,A15,white,5,profile,33,1,trousers,0
4,1,3,Poland,56,A24,black,2,en face,48,2,trousers,1
4,1,4,Poland,56,A35,white,6,profile,33,2,trousers,0
4,1,5,Poland,56,B4,olive,2,en face,52,1,skirts,1
4,1,6,Poland,56,B1,brown,1,en face,57,1,skirts,1
4,1,7,Poland,56,B32,gray,5,en face,38,2,skirts,0
4,1,8,Poland,56,C14,of many colors,5,en face,23,1,blouses,0
4,1,9,Poland,56,P20,green,1,en face,23,2,sale,0
4,1,1,United Kingdom,57,P40,brown,2,en face,43,3,sale,1
4,1,2,United Kingdom,57,P51,of many colors,5,en face,28,3,sale,0
4,1,3,United Kingdom,57,P61,beige,3,profile,28,4,sale,0
4,1,1,Poland,58,P4,brown,2,en face,38,1,sale,1
4,1,2,Poland,58,P25,black,3,profile,43,2,sale,1
4,1,3,Poland,58,A7,blue,3,en face,43,1,trousers,0
4,1,4,Poland,58,A11,blue,4,en face,62,1,trousers,1
4,1,5,Poland,58,A9,blue,3,en face,82,1,trousers,1
4,1,6,Poland,58,A23,gray,2,profile,33,2,trousers,0
4,1,1,Lithuania,59,C44,white,3,en face,55,3,blouses,1
4,1,2,Lithuania,59,C45,pink,3,en face,55,3,blouses,1
4,1,1,Ireland,60,C17,white,6,en face,48,1,blouses,1
4,1,2,Ireland,60,A15,white,5,profile,33,1,trousers,0
4,1,3,Ireland,60,A4,blue,2,profile,38,1,trousers,0
4,1,4,Ireland,60,B4,olive,2,en face,52,1,skirts,1
4,1,5,Ireland,60,B1,brown,1,en face,57,1,skirts,1
4,1,6,Ireland,60,B1,brown,1,en face,57,1,skirts,1
4,1,1,Lithuania,61,A15,white,5,profile,33,1,trousers,0
4,1,2,Lithuania,61,B1,brown,1,en face,57,1,skirts,1
4,1,3,Lithuania,61,B10,black,4,en face,67,1,skirts,1
4,1,4,Lithuania,61,B12,black,4,en face,38,1,skirts,0
4,1,5,Lithuania,61,B15,of many colors,5,en face,38,1,skirts,0
4,1,6,Lithuania,61,B24,pink,2,en face,57,2,skirts,1
4,1,1,Romania,62,A6,blue,2,en face,43,1,trousers,0
4,1,1,Czech Republic,63,C13,of many colors,5,en face,48,1,blouses,1
4,1,2,Czech Republic,63,C1,brown,1,profile,28,1,blouses,0
4,1,3,Czech Republic,63,C5,pink,2,en face,48,1,blouses,1
4,1,4,Czech Republic,63,C14,of many colors,5,en face,23,1,blouses,0
4,1,5,Czech Republic,63,C18,of many colors,6,en face,48,1,blouses,1
4,1,1,Lithuania,64,B10,black,4,en face,67,1,skirts,1
4,1,2,Lithuania,64,B11,black,4,en face,43,1,skirts,0
4,1,3,Lithuania,64,B12,black,4,en face,38,1,skirts,0
4,1,4,Lithuania,64,B13,red,5,profile,62,1,skirts,1
4,1,5,Lithuania,64,B14,black,5,en face,62,1,skirts,1
